Washington County, Utah, Precipitation
Units: Inches,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
201012,6.87,5.46
201101,0.14,-1.59
201102,2.12,0.19
201103,1.54,-0.37
201104,1.14,0.11
201105,1.43,0.64
201106,0.04,-0.37
201107,0.9,-0.29
201108,0.19,-1.24
201109,0.99,-0.04
201110,2.07,0.94
201111,0.71,-0.43
201112,0.63,-0.78
201201,0.95,-0.78
201202,1.67,-0.26
201203,0.88,-1.03
201204,0.95,-0.08
201205,0.01,-0.78
201206,0,-0.41
201207,2.24,1.05
201208,2.79,1.36
201209,1.36,0.33
201210,1.36,0.23
201211,0.49,-0.65
201212,1.78,0.37
201301,0.97,-0.76
201302,0.68,-1.25
201303,0.93,-0.98
201304,0.52,-0.51
201305,0.36,-0.43
201306,0.01,-0.4
201307,1.7,0.51
201308,2.11,0.68
201309,3.04,2.01
201310,0.72,-0.41
201311,1.37,0.23
201312,0.87,-0.54
201401,0.59,-1.14
201402,0.7,-1.23
201403,0.8,-1.11
201404,0.72,-0.31
201405,0.71,-0.08
201406,0,-0.41
201407,1.35,0.16
201408,3.08,1.65
201409,3.97,2.94
201410,0.02,-1.11
201411,0.53,-0.61
201412,1.33,-0.08
201501,1.12,-0.61
201502,1.48,-0.45
201503,1.79,-0.12
201504,0.76,-0.27
201505,2.46,1.67
201506,0.54,0.13
201507,1.36,0.17
201508,1.2,-0.23
201509,1.1,0.07
201510,1.77,0.64
201511,1.03,-0.11
201512,1.28,-0.13
201601,2.41,0.68
201602,0.85,-1.08
201603,1.08,-0.83
201604,2.67,1.64
201605,0.36,-0.43
201606,0.44,0.03
201607,0.81,-0.38
201608,2.37,0.94
201609,1.27,0.24
201610,0.63,-0.5
201611,1.13,-0.01
201612,3.6,2.19
201701,4,2.27
201702,1.53,-0.4
201703,1.1,-0.81
201704,0.47,-0.56
201705,0.66,-0.13
201706,0,-0.41
201707,2.78,1.59
201708,1.6,0.17
201709,1.34,0.31
201710,0.01,-1.12
201711,0.13,-1.01
201712,0.16,-1.25
201801,2.02,0.29
201802,1.15,-0.78
201803,1.61,-0.3
201804,0.63,-0.4
201805,0.71,-0.08
201806,0,-0.41
201807,2.02,0.83
201808,1.49,0.06
201809,0.11,-0.92
201810,2.58,1.45
201811,0.79,-0.35
201812,1.12,-0.29
201901,2.96,1.23
201902,4.81,2.88
201903,4.4,2.49
201904,1.49,0.46
201905,2.97,2.18
201906,0.27,-0.14
201907,0.37,-0.82
201908,0.09,-1.34
201909,0.05,-0.98
201910,0.01,-1.12
201911,4.25,3.11
201912,2.36,0.95
202001,0.31,-1.42
202002,1.14,-0.79
202003,3.95,2.04
202004,1.03,0
202005,0.05,-0.74
202006,0.01,-0.4
202007,0.09,-1.1
202008,0.49,-0.94
202009,0.05,-0.98
202010,0.03,-1.1
202011,0.69,-0.45
202012,0.49,-0.92
202101,1.61,-0.12
