Washington County, Utah, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
200210,55.4,-1.1
200211,45.1,0.8
200212,37,0.7
200301,44.9,9.7
200302,39.4,0
200303,46.2,1.6
200304,50,-1.9
200305,63.7,3.1
200306,73.5,3.3
200307,82.2,5.4
200308,77.9,2.9
200309,71.2,3.5
200310,63.8,7.3
200311,42.3,-2
200312,38.1,1.8
200401,36,0.8
200402,36.1,-3.3
200403,53.7,9.1
200404,53.6,1.7
200405,63.6,3
200406,73.4,3.2
200407,78,1.2
200408,75,0
200409,67.4,-0.3
200410,54.9,-1.6
200411,42.6,-1.7
200412,38.9,2.6
200501,40.8,5.6
200502,41.3,1.9
200503,45.3,0.7
200504,51,-0.9
200505,62.3,1.7
200506,68.7,-1.5
200507,80.7,3.9
200508,74,-1
200509,67.9,0.2
200510,57.8,1.3
200511,47.8,3.5
200512,38.9,2.6
200601,38.8,3.6
200602,41.7,2.3
200603,41.1,-3.5
200604,53.2,1.3
200605,66.1,5.5
200606,75.6,5.4
200607,80,3.2
200608,76.4,1.4
200609,66.2,-1.5
200610,55.1,-1.4
200611,47.3,3
200612,36.9,0.6
200701,33,-2.2
200702,42.2,2.8
200703,51.1,6.5
200704,55.3,3.4
200705,64.9,4.3
200706,74.3,4.1
200707,81,4.2
200708,78.1,3.1
200709,69.2,1.5
200710,57.1,0.6
200711,50.2,5.9
200712,34.1,-2.2
200801,34,-1.2
200802,39.2,-0.2
200803,46.3,1.7
200804,51.8,-0.1
200805,59.1,-1.5
200806,72.3,2.1
200807,79.3,2.5
200808,77.9,2.9
200809,70.5,2.8
200810,58.3,1.8
200811,48.6,4.3
200812,35.4,-0.9
200901,39.7,4.5
200902,40.3,0.9
200903,46.3,1.7
200904,51.6,-0.3
200905,67.1,6.5
200906,68.4,-1.8
200907,79.9,3.1
200908,76.3,1.3
200909,71.5,3.8
200910,53.8,-2.7
200911,48.1,3.8
200912,33.2,-3.1
201001,37.9,2.7
201002,39.6,0.2
201003,44.7,0.1
201004,50.2,-1.7
201005,56.6,-4
201006,72.2,2
201007,80.3,3.5
201008,75.8,0.8
201009,71.3,3.6
201010,58,1.5
201011,42.8,-1.5
201012,41.1,4.8
201101,37.4,2.2
201102,37.2,-2.2
201103,46.1,1.5
201104,50.6,-1.3
201105,56.8,-3.8
201106,69.7,-0.5
201107,76.9,0.1
201108,78.7,3.7
201109,70.5,2.8
201110,57.3,0.8
201111,44,-0.3
201112,36,-0.3
201201,40.1,4.9
201202,39.4,0
201203,46.7,2.1
201204,55,3.1
201205,65,4.4
201206,74.5,4.3
201207,77.2,0.4
201208,77.8,2.8
201209,70.5,2.8
201210,59,2.5
201211,48.6,4.3
201212,36.3,0
201301,32.6,-2.6
201302,37.7,-1.7
201303,49.7,5.1
201304,54,2.1
201305,62.3,1.7
201306,75.8,5.6
201307,79.4,2.6
201308,75.4,0.4
201309,66.3,-1.4
201310,53.5,-3
201311,45.5,1.2
201312,34,-2.3
201401,42.4,7.2
201402,44.1,4.7
201403,48,3.4
201404,54.2,2.3
201405,62.7,2.1
201406,73.3,3.1
201407,78.9,2.1
201408,72.9,-2.1
201409,70.5,2.8
201410,60.7,4.2
201411,46.9,2.6
201412,39.3,3
201501,41.2,6
201502,46.6,7.2
201503,51.6,7
201504,53.2,1.3
201505,58.9,-1.7
201506,75.7,5.5
201507,75.2,-1.6
201508,77,2
201509,72.2,4.5
201510,60.9,4.4
201511,42,-2.3
201512,35.5,-0.8
201601,36.5,1.3
201602,44.4,5
201603,49,4.4
201604,53.2,1.3
201605,60,-0.6
201606,76.8,6.6
201607,79.4,2.6
201608,75.2,0.2
201609,67.2,-0.5
201610,60.8,4.3
201611,48.5,4.2
201612,36.5,0.2
201701,35.6,0.4
201702,42.8,3.4
201703,50.8,6.2
201704,52.8,0.9
201705,61.8,1.2
201706,75.8,5.6
201707,79.9,3.1
201708,76.8,1.8
201709,67.1,-0.6
201710,57.4,0.9
201711,51.3,7
201712,40.6,4.3
201801,41.8,6.6
201802,39.5,0.1
201803,45.1,0.5
201804,56.6,4.7
201805,63,2.4
201806,74.9,4.7
201807,80.4,3.6
201808,77.9,2.9
201809,72,4.3
201810,54.7,-1.8
201811,43.6,-0.7
201812,37.6,1.3
201901,36.4,1.2
201902,33.4,-6
201903,45,0.4
201904,54.5,2.6
201905,54.5,-6.1
201906,70.1,-0.1
201907,77.8,1
201908,77.9,2.9
201909,69.4,1.7
201910,52.2,-4.3
201911,46.8,2.5
201912,36.7,0.4
202001,38.9,3.7
202002,40.4,1
202003,45.5,0.9
202004,54.2,2.3
202005,65.4,4.8
202006,71.9,1.7
202007,79.7,2.9
202008,80.5,5.5
202009,71.9,4.2
202010,61.7,5.2
202011,47.2,2.9
202012,37.4,1.1
202101,37.8,2.6
