0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_19020701,100,100,89.8,77.3,49.3,0,0,0,0,0,0
0.8,d_19020801,99.3,92.9,76.4,61.1,34.3,0,0,0,0,0,0
5.2,d_19020901,94.7,85.4,65.4,51.9,26.2,0,0,0,0,0,0
1.2,d_19021001,98.8,92.9,76.5,63,45.5,0,0,0,0,0,0
50.6,d_19021101,49.4,26.6,0,0,0,0,0,0,0,0,0
44.8,d_19021201,55.2,34.4,0,0,0,0,0,0,0,0,0
61.4,d_19030101,38.6,9.1,0,0,0,0,0,0,0,0,0
87,d_19030201,4.4,0,0,0,0,0,8.6,0,0,0,0
63.2,d_19030301,0.3,0,0,0,0,0,36.6,0,0,0,0
97.8,d_19030401,0,0,0,0,0,0,2.2,0,0,0,0
37.8,d_19030501,0,0,0,0,0,0,62.2,11.8,0,0,0
18.3,d_19030601,0,0,0,0,0,0,81.7,14.9,0,0,0
0,d_19030701,0,0,0,0,0,0,100,97,0,0,0
98.4,d_19030801,0,0,0,0,0,0,1.6,0,0,0,0
70.8,d_19030901,0,0,0,0,0,0,29.2,0,0,0,0
26.8,d_19031001,0,0,0,0,0,0,73.2,36,0,0,0
77.3,d_19031101,0,0,0,0,0,0,22.8,4.6,0,0,0
78.9,d_19031201,20.9,0.8,0,0,0,0,0.1,0,0,0,0
30.9,d_19040101,69.1,51.2,3.6,0,0,0,0,0,0,0,0
28.1,d_19040201,71.9,53.3,0.2,0,0,0,0,0,0,0,0
69.2,d_19040301,30.7,15,0,0,0,0,0,0,0,0,0
20,d_19040401,80,37.6,5.6,0,0,0,0,0,0,0,0
72.6,d_19040501,27.4,12.4,0,0,0,0,0,0,0,0,0
46.4,d_19040601,53.6,22.7,4.3,0,0,0,0,0,0,0,0
4.7,d_19040701,95.3,60,15.1,2.2,0,0,0,0,0,0,0
69.4,d_19040801,30.6,13.9,0,0,0,0,0,0,0,0,0
90.2,d_19040901,9.8,0,0,0,0,0,0,0,0,0,0
98.8,d_19041001,1.2,0,0,0,0,0,0,0,0,0,0
50.1,d_19041101,49.9,21.4,0,0,0,0,0,0,0,0,0
0,d_19041201,100,92.8,17.1,0.9,0,0,0,0,0,0,0
1.5,d_19050101,98.6,40.7,0,0,0,0,0,0,0,0,0
56,d_19050201,44.1,4.2,0,0,0,0,0,0,0,0,0
100,d_19050301,0,0,0,0,0,0,0,0,0,0,0
100,d_19050401,0,0,0,0,0,0,0,0,0,0,0
94.4,d_19050501,0,0,0,0,0,0,5.6,0,0,0,0
97,d_19050601,0,0,0,0,0,0,3,0,0,0,0
96.7,d_19050701,0,0,0,0,0,0,3.3,0,0,0,0
93,d_19050801,0,0,0,0,0,0,7,0,0,0,0
0,d_19050901,0,0,0,0,0,0,100,99.6,29,0,0
0.1,d_19051001,0,0,0,0,0,0,100,98.6,1.9,0,0
0,d_19051101,0,0,0,0,0,0,100,98,13.9,0,0
22.1,d_19051201,0,0,0,0,0,0,77.9,31.1,0,0,0
9.2,d_19060101,0,0,0,0,0,0,90.8,55.6,0,0,0
74,d_19060201,0,0,0,0,0,0,26,0.4,0,0,0
0,d_19060301,0,0,0,0,0,0,100,99.8,69.8,30.2,0
0,d_19060401,0,0,0,0,0,0,100,100,99.9,80.2,28.3
0,d_19060501,0,0,0,0,0,0,100,100,100,91,50.2
0,d_19060601,0,0,0,0,0,0,100,100,49.1,12.1,0
0,d_19060701,0,0,0,0,0,0,100,100,97.9,65.8,9.6
0,d_19060801,0,0,0,0,0,0,100,100,100,88.3,2.9
0,d_19060901,0,0,0,0,0,0,100,100,100,100,42.1
0,d_19061001,0,0,0,0,0,0,100,100,99.6,46.7,11.9
0,d_19061101,0,0,0,0,0,0,100,100,100,99.4,33.8
0,d_19061201,0,0,0,0,0,0,99.9,99.7,70.6,21.5,0
0,d_19070101,0,0,0,0,0,0,100,99.6,67.8,29.1,0.4
0,d_19070201,0,0,0,0,0,0,100,100,70.4,21.3,0
0,d_19070301,0,0,0,0,0,0,99.9,99.9,88.3,22.4,0
0,d_19070401,0,0,0,0,0,0,100,100,61.2,4.9,0
0,d_19070501,0,0,0,0,0,0,99.9,99.9,60.3,4.6,0
0,d_19070601,0,0,0,0,0,0,100,100,51.5,0,0
0,d_19070701,0,0,0,0,0,0,100,100,100,31.5,0
0,d_19070801,0,0,0,0,0,0,100,100,70.2,5,0
0,d_19070901,0,0,0,0,0,0,100,50.5,0,0,0
0,d_19071001,0,0,0,0,0,0,100,89.9,15.1,2,0
2.3,d_19071101,0,0,0,0,0,0,97.7,47,1.4,0,0
8.9,d_19071201,0,0,0,0,0,0,91.2,47.4,1.4,0,0
1.3,d_19080101,0,0,0,0,0,0,98.8,68.8,3,0,0
33.5,d_19080201,0,0,0,0,0,0,66.5,12.9,0,0,0
79.6,d_19080301,0,0,0,0,0,0,20.4,0.2,0,0,0
62.3,d_19080401,0,0,0,0,0,0,37.7,1.3,0,0,0
63.3,d_19080501,0,0,0,0,0,0,36.7,5.3,0,0,0
55.7,d_19080601,0,0,0,0,0,0,44.3,8.6,0,0,0
98.9,d_19080701,1.1,0,0,0,0,0,0,0,0,0,0
76.9,d_19080801,0,0,0,0,0,0,23,2.5,0,0,0
49.8,d_19080901,0,0,0,0,0,0,50.2,5.8,0,0,0
0.8,d_19081001,0,0,0,0,0,0,99.2,69.5,0,0,0
41,d_19081101,0,0,0,0,0,0,59.1,3.6,0,0,0
2.3,d_19081201,0,0,0,0,0,0,97.7,50.2,0,0,0
0,d_19090101,0,0,0,0,0,0,100.1,90,30,5.8,0
0,d_19090201,0,0,0,0,0,0,100,98.3,40.1,21.7,2.5
0,d_19090301,0,0,0,0,0,0,100,81.1,30.5,13.3,0
0.1,d_19090401,0,0,0,0,0,0,99.9,61.9,18.1,7.3,0
41.4,d_19090501,0,0,0,0,0,0,58.6,34.6,10.9,1.8,0
72.5,d_19090601,0,0,0,0,0,0,27.5,15.4,1.2,0,0
59.4,d_19090701,30.2,1,0,0,0,0,10.3,2.3,0,0,0
20.2,d_19090801,0,0,0,0,0,0,79.9,50.3,20.1,11.5,0.4
0,d_19090901,0,0,0,0,0,0,100,91.1,18.9,7.8,0
39.7,d_19091001,0,0,0,0,0,0,60.3,21.6,0,0,0
